experiment,condition,sample,seed,n,k,r,rx,rz,measurement,probe,source,target,witness_target,result,timed_out,timeout_seconds,build_seconds,solve_seconds,decisions,conflicts,propagations,rlimit_count,assertions,row_operation_variables
permutation_survival,A,0,801058442,16,2,14,7,7,base,,,,,sat,False,300.0,0.307704084,0.053003208,1340,504,38311,306577,736,196
permutation_survival,A,0,801058442,16,2,14,7,7,invalid_mapping,0,2,5,7,sat,False,300.0,0.252489666,0.034875208,648,280,26418,588048,737,196
permutation_survival,A,0,801058442,16,2,14,7,7,invalid_mapping,1,8,3,11,unsat,False,300.0,0.254213000,0.003605917,0,0,0,620890,737,196
permutation_survival,A,0,801058442,16,2,14,7,7,invalid_mapping,2,10,12,14,unsat,False,300.0,0.256395791,0.010701042,0,0,0,751953,737,196
permutation_survival,B1,0,801058442,16,2,14,7,7,base,,,,,sat,False,300.0,0.254484125,0.041125250,1360,410,50329,1044819,736,196
permutation_survival,B1,0,801058442,16,2,14,7,7,invalid_mapping,0,2,5,7,sat,False,300.0,0.252526833,0.036725459,1039,346,37115,1314990,737,196
permutation_survival,B1,0,801058442,16,2,14,7,7,invalid_mapping,1,8,3,11,unsat,False,300.0,0.251187083,0.004121875,0,0,0,1348196,737,196
permutation_survival,B1,0,801058442,16,2,14,7,7,invalid_mapping,2,10,12,14,unsat,False,300.0,0.252620542,0.011928959,0,0,0,1479068,737,196
permutation_survival,B2,0,801058442,16,2,14,7,7,base,,,,,sat,False,300.0,0.227678833,0.018995750,0,0,11,1688563,736,98
permutation_survival,B2,0,801058442,16,2,14,7,7,invalid_mapping,0,2,5,7,unsat,False,300.0,0.227181584,0.006821250,0,0,0,1757450,737,98
permutation_survival,B2,0,801058442,16,2,14,7,7,invalid_mapping,1,8,3,11,unsat,False,300.0,0.228481333,0.002581167,0,0,0,1778754,737,98
permutation_survival,B2,0,801058442,16,2,14,7,7,invalid_mapping,2,10,12,14,unsat,False,300.0,0.228224208,0.002914333,0,0,0,1800888,737,98
permutation_survival,C,0,801058442,16,2,14,7,7,base,,,,,sat,False,300.0,0.118337334,0.099884875,8316,4470,288326,2344617,512,98
permutation_survival,C,0,801058442,16,2,14,7,7,invalid_mapping,0,2,5,7,unsat,False,300.0,0.119474417,0.075499167,6995,4011,232067,2799274,513,98
permutation_survival,C,0,801058442,16,2,14,7,7,invalid_mapping,1,8,3,11,unsat,False,300.0,0.119549625,0.101879542,9351,5212,321298,3393661,513,98
permutation_survival,C,0,801058442,16,2,14,7,7,invalid_mapping,2,10,12,14,unsat,False,300.0,0.118947708,0.110666167,9619,5357,325539,3997263,513,98
permutation_survival,A,1,163934441,16,2,14,7,7,base,,,,,sat,False,300.0,0.254457083,0.055765417,1645,829,97663,4372428,736,196
permutation_survival,A,1,163934441,16,2,14,7,7,invalid_mapping,0,5,8,0,unsat,False,300.0,0.252453417,0.035802250,274,189,26326,4634852,737,196
permutation_survival,A,1,163934441,16,2,14,7,7,invalid_mapping,1,15,13,2,unsat,False,300.0,0.255307000,0.041411333,596,421,53806,4927558,737,196
permutation_survival,A,1,163934441,16,2,14,7,7,invalid_mapping,2,0,3,14,unsat,False,300.0,0.253256250,0.004674958,0,0,0,4963992,737,196
permutation_survival,B1,1,163934441,16,2,14,7,7,base,,,,,sat,False,300.0,0.248798375,0.059261625,2285,805,97633,5341591,736,196
permutation_survival,B1,1,163934441,16,2,14,7,7,invalid_mapping,0,5,8,0,unsat,False,300.0,0.248992791,0.031588584,239,77,5140,5574040,737,196
permutation_survival,B1,1,163934441,16,2,14,7,7,invalid_mapping,1,15,13,2,unsat,False,300.0,0.249679417,0.032323333,96,61,3515,5810626,737,196
permutation_survival,B1,1,163934441,16,2,14,7,7,invalid_mapping,2,0,3,14,unsat,False,300.0,0.248744250,0.004232875,0,0,0,5844786,737,196
permutation_survival,B2,1,163934441,16,2,14,7,7,base,,,,,sat,False,300.0,0.224300667,0.012011083,0,0,0,5989194,736,98
permutation_survival,B2,1,163934441,16,2,14,7,7,invalid_mapping,0,5,8,0,unsat,False,300.0,0.222072416,0.002873417,0,0,0,6011968,737,98
permutation_survival,B2,1,163934441,16,2,14,7,7,invalid_mapping,1,15,13,2,unsat,False,300.0,0.224284708,0.003173792,0,0,0,6035304,737,98
permutation_survival,B2,1,163934441,16,2,14,7,7,invalid_mapping,2,0,3,14,unsat,False,300.0,0.224571208,0.003034000,0,0,0,6058588,737,98
permutation_survival,C,1,163934441,16,2,14,7,7,base,,,,,sat,False,300.0,0.118930167,0.034073666,2273,806,59768,6277057,512,98
permutation_survival,C,1,163934441,16,2,14,7,7,invalid_mapping,0,5,8,0,unsat,False,300.0,0.119188167,0.032179000,1626,772,63187,6483837,513,98
permutation_survival,C,1,163934441,16,2,14,7,7,invalid_mapping,1,15,13,2,unsat,False,300.0,0.116961458,0.038456250,2436,1214,68045,6717536,513,98
permutation_survival,C,1,163934441,16,2,14,7,7,invalid_mapping,2,0,3,14,unsat,False,300.0,0.118313417,0.016544166,69,36,1958,6836525,513,98
permutation_survival,A,2,542457538,16,2,14,7,7,base,,,,,sat,False,300.0,0.251461917,0.225519041,9049,4466,613394,7910288,736,196
permutation_survival,A,2,542457538,16,2,14,7,7,invalid_mapping,0,12,7,10,unsat,False,300.0,0.249194959,0.058224750,942,544,89971,8286009,737,196
permutation_survival,A,2,542457538,16,2,14,7,7,invalid_mapping,1,7,10,15,unsat,False,300.0,0.250608291,0.090335917,2359,1122,178641,8809232,737,196
permutation_survival,A,2,542457538,16,2,14,7,7,invalid_mapping,2,13,6,4,unsat,False,300.0,0.247746417,0.069544292,2435,1152,134405,9239599,737,196
permutation_survival,B1,2,542457538,16,2,14,7,7,base,,,,,sat,False,300.0,0.245009791,0.136033792,4138,2195,353475,9964138,736,196
