algorithm,generator,name,n,k,positive,density,symmetry,seed,nr_seeds,timeout_seconds,memory_limit_bytes,mean_seconds,stddev_seconds,maximum_seconds,num_cases,num_successful,num_unexpected,num_timeouts,num_memory_limited,num_errors,num_generation_errors
lc_stb_lse,random_lc_stb_lse_3_0_positive,,3,0,True,,,42,10,5400.0,13958643712,0.014088982,0.000815155,0.015770699,10,10,0,0,0,0,0
lc_stb_lse,random_lc_stb_lse_3_0_negative,,3,0,False,,,42,10,5400.0,13958643712,0.014090723,0.001120693,0.016520411,10,10,0,0,0,0,0
lc_stb_lse,random_lc_stb_lse_3_1_positive,,3,1,True,,,42,10,5400.0,13958643712,0.013754608,0.000779230,0.015469415,10,10,0,0,0,0,0
lc_stb_lse,random_lc_stb_lse_3_1_negative,,3,1,False,,,42,10,5400.0,13958643712,0.013833669,0.000678137,0.015058228,10,10,0,0,0,0,0
lc_stb_lse,random_lc_stb_lse_4_0_positive,,4,0,True,,,42,10,5400.0,13958643712,0.014098367,0.001157794,0.016704923,10,10,0,0,0,0,0
lc_stb_lse,random_lc_stb_lse_4_0_negative,,4,0,False,,,42,10,5400.0,13958643712,0.013878863,0.000917196,0.015238620,10,10,0,0,0,0,0
lc_stb_lse,random_lc_stb_lse_4_1_positive,,4,1,True,,,42,10,5400.0,13958643712,0.013756693,0.000832997,0.015214410,10,10,0,0,0,0,0
lc_stb_lse,random_lc_stb_lse_4_1_negative,,4,1,False,,,42,10,5400.0,13958643712,0.013774821,0.000846218,0.016010232,10,10,0,0,0,0,0
lc_stb_lse,random_lc_stb_lse_5_0_positive,,5,0,True,,,42,10,5400.0,13958643712,0.013445564,0.000280716,0.013700556,10,10,0,0,0,0,0
lc_stb_lse,random_lc_stb_lse_5_0_negative,,5,0,False,,,42,10,5400.0,13958643712,0.013937160,0.000745722,0.015690148,10,10,0,0,0,0,0
lc_stb_lse,random_lc_stb_lse_5_1_positive,,5,1,True,,,42,10,5400.0,13958643712,0.014068034,0.000996041,0.015494114,10,10,0,0,0,0,0
lc_stb_lse,random_lc_stb_lse_5_1_negative,,5,1,False,,,42,10,5400.0,13958643712,0.013568174,0.000446660,0.014246084,10,10,0,0,0,0,0
lc_stb_lse,random_lc_stb_lse_6_0_positive,,6,0,True,,,42,10,5400.0,13958643712,0.014132845,0.000838905,0.015211509,10,10,0,0,0,0,0
lc_stb_lse,random_lc_stb_lse_6_0_negative,,6,0,False,,,42,10,5400.0,13958643712,0.014189561,0.001160859,0.016530580,10,10,0,0,0,0,0
lc_stb_lse,random_lc_stb_lse_6_1_positive,,6,1,True,,,42,10,5400.0,13958643712,0.013993899,0.000653910,0.015316672,10,10,0,0,0,0,0
lc_stb_lse,random_lc_stb_lse_6_1_negative,,6,1,False,,,42,10,5400.0,13958643712,0.013822316,0.000655434,0.014687171,10,10,0,0,0,0,0
