algorithm,generator,name,n,k,positive,density,symmetry,seed,nr_seeds,timeout_seconds,memory_limit_bytes,mean_seconds,stddev_seconds,maximum_seconds,num_cases,num_successful,num_unexpected,num_timeouts,num_memory_limited,num_errors,num_generation_errors
pm_stb_bruteforce,random_pm_stb_bruteforce_3_0_negative,,3,0,False,,,42,10,5400.0,13958643712,0.008602671,0.000316147,0.009331395,10,10,0,0,0,0,0
pm_stb_bruteforce,random_pm_stb_bruteforce_3_0_positive,,3,0,True,,,42,10,5400.0,13958643712,0.008482451,0.000713255,0.009509258,10,10,0,0,0,0,0
pm_stb_bruteforce,random_pm_stb_bruteforce_3_1_negative,,3,1,False,,,42,10,5400.0,13958643712,0.008121512,0.000739176,0.009263105,10,10,0,0,0,0,0
pm_stb_bruteforce,random_pm_stb_bruteforce_3_1_positive,,3,1,True,,,42,10,5400.0,13958643712,0.008879736,0.000662780,0.009898943,10,10,0,0,0,0,0
pm_stb_bruteforce,random_pm_stb_bruteforce_3_2_negative,,3,2,False,,,42,10,5400.0,13958643712,0.009761874,0.000850502,0.011663042,10,10,0,0,0,0,0
pm_stb_bruteforce,random_pm_stb_bruteforce_3_2_positive,,3,2,True,,,42,10,5400.0,13958643712,0.009057484,0.000713265,0.010060335,10,10,0,0,0,0,0
pm_stb_bruteforce,random_pm_stb_bruteforce_4_0_negative,,4,0,False,,,42,10,5400.0,13958643712,0.012260846,0.001333824,0.014165911,10,10,0,0,0,0,0
pm_stb_bruteforce,random_pm_stb_bruteforce_4_0_positive,,4,0,True,,,42,10,5400.0,13958643712,0.010187398,0.001088574,0.011694553,10,10,0,0,0,0,0
pm_stb_bruteforce,random_pm_stb_bruteforce_4_1_negative,,4,1,False,,,42,10,5400.0,13958643712,0.011739681,0.001164552,0.013841107,10,10,0,0,0,0,0
pm_stb_bruteforce,random_pm_stb_bruteforce_4_1_positive,,4,1,True,,,42,10,5400.0,13958643712,0.009672614,0.001372118,0.012784375,10,10,0,0,0,0,0
pm_stb_bruteforce,random_pm_stb_bruteforce_4_2_negative,,4,2,False,,,42,10,5400.0,13958643712,0.010793843,0.000845338,0.012268169,10,10,0,0,0,0,0
pm_stb_bruteforce,random_pm_stb_bruteforce_4_2_positive,,4,2,True,,,42,10,5400.0,13958643712,0.009938040,0.001168793,0.011525701,10,10,0,0,0,0,0
pm_stb_bruteforce,random_pm_stb_bruteforce_4_3_negative,,4,3,False,,,42,10,5400.0,13958643712,0.010594322,0.000803981,0.012163798,10,10,0,0,0,0,0
pm_stb_bruteforce,random_pm_stb_bruteforce_4_3_positive,,4,3,True,,,42,10,5400.0,13958643712,0.009030314,0.000648064,0.009927202,10,10,0,0,0,0,0
pm_stb_bruteforce,random_pm_stb_bruteforce_5_0_negative,,5,0,False,,,42,10,5400.0,13958643712,0.030345027,0.002378384,0.034556862,10,10,0,0,0,0,0
pm_stb_bruteforce,random_pm_stb_bruteforce_5_0_positive,,5,0,True,,,42,10,5400.0,13958643712,0.016175373,0.005698526,0.025931504,10,10,0,0,0,0,0
pm_stb_bruteforce,random_pm_stb_bruteforce_5_1_negative,,5,1,False,,,42,10,5400.0,13958643712,0.026861070,0.003972172,0.035692596,10,10,0,0,0,0,0
pm_stb_bruteforce,random_pm_stb_bruteforce_5_1_positive,,5,1,True,,,42,10,5400.0,13958643712,0.014889622,0.003736240,0.020012818,10,10,0,0,0,0,0
pm_stb_bruteforce,random_pm_stb_bruteforce_5_2_negative,,5,2,False,,,42,10,5400.0,13958643712,0.019713160,0.001402637,0.021763637,10,10,0,0,0,0,0
pm_stb_bruteforce,random_pm_stb_bruteforce_5_2_positive,,5,2,True,,,42,10,5400.0,13958643712,0.014635540,0.004425705,0.020539503,10,10,0,0,0,0,0
pm_stb_bruteforce,random_pm_stb_bruteforce_5_3_negative,,5,3,False,,,42,10,5400.0,13958643712,0.017016747,0.001572285,0.018707903,10,10,0,0,0,0,0
pm_stb_bruteforce,random_pm_stb_bruteforce_5_3_positive,,5,3,True,,,42,10,5400.0,13958643712,0.012414216,0.002302855,0.016815590,10,10,0,0,0,0,0
pm_stb_bruteforce,random_pm_stb_bruteforce_5_4_negative,,5,4,False,,,42,10,5400.0,13958643712,0.014715733,0.001996103,0.018499329,10,10,0,0,0,0,0
pm_stb_bruteforce,random_pm_stb_bruteforce_5_4_positive,,5,4,True,,,42,10,5400.0,13958643712,0.009808359,0.002053910,0.013917008,10,10,0,0,0,0,0
pm_stb_bruteforce,random_pm_stb_bruteforce_6_0_negative,,6,0,False,,,42,10,5400.0,13958643712,0.155012945,0.018335491,0.177057470,10,10,0,0,0,0,0
pm_stb_bruteforce,random_pm_stb_bruteforce_6_0_positive,,6,0,True,,,42,10,5400.0,13958643712,0.052583729,0.039609560,0.126840650,10,10,0,0,0,0,0
pm_stb_bruteforce,random_pm_stb_bruteforce_6_1_negative,,6,1,False,,,42,10,5400.0,13958643712,0.124840001,0.006257794,0.134093112,10,10,0,0,0,0,0
pm_stb_bruteforce,random_pm_stb_bruteforce_6_1_positive,,6,1,True,,,42,10,5400.0,13958643712,0.048102157,0.030833280,0.107989196,10,10,0,0,0,0,0
pm_stb_bruteforce,random_pm_stb_bruteforce_6_2_negative,,6,2,False,,,42,10,5400.0,13958643712,0.095444860,0.009517345,0.104205903,10,10,0,0,0,0,0
pm_stb_bruteforce,random_pm_stb_bruteforce_6_2_positive,,6,2,True,,,42,10,5400.0,13958643712,0.041888218,0.025790679,0.100011416,10,10,0,0,0,0,0
pm_stb_bruteforce,random_pm_stb_bruteforce_6_3_negative,,6,3,False,,,42,10,5400.0,13958643712,0.073253047,0.004112825,0.081517996,10,10,0,0,0,0,0
pm_stb_bruteforce,random_pm_stb_bruteforce_6_3_positive,,6,3,True,,,42,10,5400.0,13958643712,0.035743841,0.018251219,0.070516201,10,10,0,0,0,0,0
