problem,code,positive,seed,n,k,status,runtime_seconds,decided_by,stuck_at,timeout_seconds,error
pm_css,bell,True,89,2,0,success,0.002191607,BF,,5400.0,
pm_css,bell,True,773,2,0,success,0.002325400,BF,,5400.0,
pm_css,bell,True,654,2,0,success,0.002142507,BF,,5400.0,
pm_css,bell,True,438,2,0,success,0.002141896,BF,,5400.0,
pm_css,bell,True,433,2,0,success,0.002104646,BF,,5400.0,
pm_css,bell,True,858,2,0,success,0.002291880,BF,,5400.0,
pm_css,bell,True,85,2,0,success,0.002091876,BF,,5400.0,
pm_css,bell,True,697,2,0,success,0.002091876,BF,,5400.0,
pm_css,bell,True,201,2,0,success,0.002451072,BF,,5400.0,
pm_css,bell,True,94,2,0,success,0.002267019,BF,,5400.0,
pm_css,bell,False,89,2,0,success,0.000634191,CI,,5400.0,
pm_css,bell,False,773,2,0,success,0.000639971,CI,,5400.0,
pm_css,bell,False,654,2,0,success,0.000574590,CI,,5400.0,
pm_css,bell,False,438,2,0,success,0.000593201,CI,,5400.0,
pm_css,bell,False,433,2,0,success,0.000585210,CI,,5400.0,
pm_css,bell,False,858,2,0,success,0.000574910,CI,,5400.0,
pm_css,bell,False,85,2,0,success,0.000758833,CI,,5400.0,
pm_css,bell,False,697,2,0,success,0.000662251,CI,,5400.0,
pm_css,bell,False,201,2,0,success,0.000575250,CI,,5400.0,
pm_css,bell,False,94,2,0,success,0.000572130,CI,,5400.0,
pm_css,3q_rep,True,89,3,1,success,0.002692486,BF,,5400.0,
pm_css,3q_rep,True,773,3,1,success,0.002607725,BF,,5400.0,
pm_css,3q_rep,True,654,3,1,success,0.002717207,BF,,5400.0,
pm_css,3q_rep,True,438,3,1,success,0.002725747,BF,,5400.0,
pm_css,3q_rep,True,433,3,1,success,0.002605294,BF,,5400.0,
pm_css,3q_rep,True,858,3,1,success,0.002944810,BF,,5400.0,
pm_css,3q_rep,True,85,3,1,success,0.002661636,BF,,5400.0,
pm_css,3q_rep,True,697,3,1,success,0.002842349,BF,,5400.0,
pm_css,3q_rep,True,201,3,1,success,0.002603405,BF,,5400.0,
pm_css,3q_rep,True,94,3,1,success,0.002706327,BF,,5400.0,
pm_css,3q_rep,False,89,3,1,success,0.001126289,CI,,5400.0,
pm_css,3q_rep,False,773,3,1,success,0.000665091,CI,,5400.0,
pm_css,3q_rep,False,654,3,1,success,0.000655541,CI,,5400.0,
pm_css,3q_rep,False,438,3,1,success,0.001126119,CI,,5400.0,
pm_css,3q_rep,False,433,3,1,success,0.000657421,CI,,5400.0,
pm_css,3q_rep,False,858,3,1,success,0.000711302,CI,,5400.0,
pm_css,3q_rep,False,85,3,1,success,0.001097379,CI,,5400.0,
pm_css,3q_rep,False,697,3,1,success,0.001177370,CI,,5400.0,
pm_css,3q_rep,False,201,3,1,success,0.001021567,CI,,5400.0,
pm_css,3q_rep,False,94,3,1,success,0.001191801,CI,,5400.0,
pm_css,steane,True,89,7,1,success,0.007331396,MI,,5400.0,
pm_css,steane,True,773,7,1,success,0.007570459,MI,,5400.0,
pm_css,steane,True,654,7,1,success,0.007551559,MI,,5400.0,
pm_css,steane,True,438,7,1,success,0.007295715,MI,,5400.0,
pm_css,steane,True,433,7,1,success,0.007674481,MI,,5400.0,
pm_css,steane,True,858,7,1,success,0.007430738,MI,,5400.0,
pm_css,steane,True,85,7,1,success,0.007458557,MI,,5400.0,
pm_css,steane,True,697,7,1,success,0.007459979,MI,,5400.0,
pm_css,steane,True,201,7,1,success,0.007443707,MI,,5400.0,
pm_css,steane,True,94,7,1,success,0.007380156,MI,,5400.0,
pm_css,steane,False,89,7,1,success,0.000693282,CI,,5400.0,
pm_css,steane,False,773,7,1,success,0.001176290,CI,,5400.0,
pm_css,steane,False,654,7,1,success,0.000748313,CI,,5400.0,
pm_css,steane,False,438,7,1,success,0.001240642,CI,,5400.0,
pm_css,steane,False,433,7,1,success,0.001208110,CI,,5400.0,
pm_css,steane,False,858,7,1,success,0.001250361,CI,,5400.0,
pm_css,steane,False,85,7,1,success,0.001288772,CI,,5400.0,
pm_css,steane,False,697,7,1,success,0.001153360,CI,,5400.0,
pm_css,steane,False,201,7,1,success,0.000781754,CI,,5400.0,
pm_css,steane,False,94,7,1,success,0.001292862,CI,,5400.0,
pm_css,shor,True,89,9,1,success,0.009263019,MI,,5400.0,
pm_css,shor,True,773,9,1,success,0.009524873,MI,,5400.0,
