code,positive,seed,n,k,status,left,right,error
bell,True,89,2,0,success,css:11|11,css:11|11,
bell,True,773,2,0,success,css:11|11,css:11|11,
bell,True,654,2,0,success,css:11|11,css:11|11,
bell,True,438,2,0,success,css:11|11,css:11|11,
bell,True,433,2,0,success,css:11|11,css:11|11,
bell,True,858,2,0,success,css:11|11,css:11|11,
bell,True,85,2,0,success,css:11|11,css:11|11,
bell,True,697,2,0,success,css:11|11,css:11|11,
bell,True,201,2,0,success,css:11|11,css:11|11,
bell,True,94,2,0,success,css:11|11,css:11|11,
bell,False,89,2,0,success,css:11|11,stb:1011/0110,
bell,False,773,2,0,success,css:11|11,stb:1101/0011,
bell,False,654,2,0,success,css:11|11,stb:1101/0011,
bell,False,438,2,0,success,css:11|11,stb:0100/0010,
bell,False,433,2,0,success,css:11|11,stb:1110/1001,
bell,False,858,2,0,success,css:11|11,stb:0111/0010,
bell,False,85,2,0,success,css:11|11,stb:1001/0110,
bell,False,697,2,0,success,css:11|11,stb:0110/0010,
bell,False,201,2,0,success,css:11|11,stb:0100/0010,
bell,False,94,2,0,success,css:11|11,stb:1110/0011,
3q_rep,True,89,3,1,success,css:|110/011,css:|011/110,
3q_rep,True,773,3,1,success,css:|110/011,css:|110/011,
3q_rep,True,654,3,1,success,css:|110/011,css:|011/101,
3q_rep,True,438,3,1,success,css:|110/011,css:|110/011,
3q_rep,True,433,3,1,success,css:|110/011,css:|110/011,
3q_rep,True,858,3,1,success,css:|110/011,css:|101/011,
3q_rep,True,85,3,1,success,css:|110/011,css:|110/101,
3q_rep,True,697,3,1,success,css:|110/011,css:|101/011,
3q_rep,True,201,3,1,success,css:|110/011,css:|110/011,
3q_rep,True,94,3,1,success,css:|110/011,css:|110/101,
3q_rep,False,89,3,1,success,css:|110/011,stb:000110/001010,
3q_rep,False,773,3,1,success,css:|110/011,stb:100001/000011,
3q_rep,False,654,3,1,success,css:|110/011,stb:000110/001010,
3q_rep,False,438,3,1,success,css:|110/011,stb:000111/000011,
3q_rep,False,433,3,1,success,css:|110/011,stb:100010/000011,
3q_rep,False,858,3,1,success,css:|110/011,stb:000010/000111,
3q_rep,False,85,3,1,success,css:|110/011,stb:000110/001010,
3q_rep,False,697,3,1,success,css:|110/011,stb:000100/000011,
3q_rep,False,201,3,1,success,css:|110/011,stb:000111/000011,
