problem,instance_id,seed,n,k,r,invariant,rejected,status,timeout,memory_limited,error
pm_stb,pm_stb-n3k0-s89,89,3,0,3,linear_dependency,False,success,False,False,
pm_stb,pm_stb-n3k0-s89,89,3,0,3,signatures,False,success,False,False,
pm_stb,pm_stb-n3k0-s773,773,3,0,3,linear_dependency,False,success,False,False,
pm_stb,pm_stb-n3k0-s773,773,3,0,3,signatures,False,success,False,False,
pm_stb,pm_stb-n3k0-s654,654,3,0,3,linear_dependency,False,success,False,False,
pm_stb,pm_stb-n3k0-s654,654,3,0,3,signatures,False,success,False,False,
pm_stb,pm_stb-n3k0-s438,438,3,0,3,linear_dependency,False,success,False,False,
pm_stb,pm_stb-n3k0-s438,438,3,0,3,signatures,False,success,False,False,
pm_stb,pm_stb-n3k0-s433,433,3,0,3,linear_dependency,False,success,False,False,
pm_stb,pm_stb-n3k0-s433,433,3,0,3,signatures,False,success,False,False,
pm_stb,pm_stb-n3k0-s858,858,3,0,3,linear_dependency,False,success,False,False,
pm_stb,pm_stb-n3k0-s858,858,3,0,3,signatures,False,success,False,False,
pm_stb,pm_stb-n3k0-s85,85,3,0,3,linear_dependency,True,success,False,False,
pm_stb,pm_stb-n3k0-s85,85,3,0,3,signatures,True,success,False,False,
pm_stb,pm_stb-n3k0-s697,697,3,0,3,linear_dependency,False,success,False,False,
pm_stb,pm_stb-n3k0-s697,697,3,0,3,signatures,False,success,False,False,
pm_stb,pm_stb-n3k0-s201,201,3,0,3,linear_dependency,True,success,False,False,
pm_stb,pm_stb-n3k0-s201,201,3,0,3,signatures,True,success,False,False,
pm_stb,pm_stb-n3k0-s94,94,3,0,3,linear_dependency,False,success,False,False,
pm_stb,pm_stb-n3k0-s94,94,3,0,3,signatures,False,success,False,False,
pm_stb,pm_stb-n3k1-s89,89,3,1,2,linear_dependency,True,success,False,False,
pm_stb,pm_stb-n3k1-s89,89,3,1,2,signatures,True,success,False,False,
pm_stb,pm_stb-n3k1-s773,773,3,1,2,linear_dependency,True,success,False,False,
pm_stb,pm_stb-n3k1-s773,773,3,1,2,signatures,True,success,False,False,
pm_stb,pm_stb-n3k1-s654,654,3,1,2,linear_dependency,False,success,False,False,
pm_stb,pm_stb-n3k1-s654,654,3,1,2,signatures,False,success,False,False,
pm_stb,pm_stb-n3k1-s438,438,3,1,2,linear_dependency,True,success,False,False,
pm_stb,pm_stb-n3k1-s438,438,3,1,2,signatures,True,success,False,False,
pm_stb,pm_stb-n3k1-s433,433,3,1,2,linear_dependency,True,success,False,False,
pm_stb,pm_stb-n3k1-s433,433,3,1,2,signatures,False,success,False,False,
pm_stb,pm_stb-n3k1-s858,858,3,1,2,linear_dependency,True,success,False,False,
pm_stb,pm_stb-n3k1-s858,858,3,1,2,signatures,False,success,False,False,
pm_stb,pm_stb-n3k1-s85,85,3,1,2,linear_dependency,False,success,False,False,
pm_stb,pm_stb-n3k1-s85,85,3,1,2,signatures,False,success,False,False,
pm_stb,pm_stb-n3k1-s697,697,3,1,2,linear_dependency,True,success,False,False,
pm_stb,pm_stb-n3k1-s697,697,3,1,2,signatures,True,success,False,False,
pm_stb,pm_stb-n3k1-s201,201,3,1,2,linear_dependency,False,success,False,False,
pm_stb,pm_stb-n3k1-s201,201,3,1,2,signatures,False,success,False,False,
pm_stb,pm_stb-n3k1-s94,94,3,1,2,linear_dependency,False,success,False,False,
pm_stb,pm_stb-n3k1-s94,94,3,1,2,signatures,False,success,False,False,
pm_stb,pm_stb-n3k2-s89,89,3,2,1,linear_dependency,False,success,False,False,
pm_stb,pm_stb-n3k2-s89,89,3,2,1,signatures,False,success,False,False,
pm_stb,pm_stb-n3k2-s773,773,3,2,1,linear_dependency,False,success,False,False,
pm_stb,pm_stb-n3k2-s773,773,3,2,1,signatures,False,success,False,False,
pm_stb,pm_stb-n3k2-s654,654,3,2,1,linear_dependency,False,success,False,False,
pm_stb,pm_stb-n3k2-s654,654,3,2,1,signatures,False,success,False,False,
pm_stb,pm_stb-n3k2-s438,438,3,2,1,linear_dependency,False,success,False,False,
pm_stb,pm_stb-n3k2-s438,438,3,2,1,signatures,False,success,False,False,
pm_stb,pm_stb-n3k2-s433,433,3,2,1,linear_dependency,True,success,False,False,
pm_stb,pm_stb-n3k2-s433,433,3,2,1,signatures,True,success,False,False,
pm_stb,pm_stb-n3k2-s858,858,3,2,1,linear_dependency,True,success,False,False,
pm_stb,pm_stb-n3k2-s858,858,3,2,1,signatures,True,success,False,False,
pm_stb,pm_stb-n3k2-s85,85,3,2,1,linear_dependency,False,success,False,False,
pm_stb,pm_stb-n3k2-s85,85,3,2,1,signatures,False,success,False,False,
pm_stb,pm_stb-n3k2-s697,697,3,2,1,linear_dependency,False,success,False,False,
pm_stb,pm_stb-n3k2-s697,697,3,2,1,signatures,False,success,False,False,
pm_stb,pm_stb-n3k2-s201,201,3,2,1,linear_dependency,False,success,False,False,
pm_stb,pm_stb-n3k2-s201,201,3,2,1,signatures,False,success,False,False,
