algorithm,generator,name,n,k,positive,density,symmetry,seed,nr_seeds,timeout_seconds,memory_limit_bytes,mean_seconds,stddev_seconds,maximum_seconds,num_cases,num_successful,num_unexpected,num_timeouts,num_memory_limited,num_errors,num_generation_errors
pm_stb_sat_on_css,random_pm_stb_sat_on_css_3_0_negative,,3,0,False,,,42,10,5400.0,13958643712,0.023123845,0.001779235,0.026293953,10,10,0,0,0,0,0
pm_stb_sat_on_css,random_pm_stb_sat_on_css_3_0_positive,,3,0,True,,,42,10,5400.0,13958643712,0.023377600,0.001645510,0.027236702,10,10,0,0,0,0,0
pm_stb_sat_on_css,random_pm_stb_sat_on_css_3_1_negative,,3,1,False,,,42,10,5400.0,13958643712,0.020129381,0.000953835,0.021704851,10,10,0,0,0,0,0
pm_stb_sat_on_css,random_pm_stb_sat_on_css_3_1_positive,,3,1,True,,,42,10,5400.0,13958643712,0.021615162,0.000766166,0.022938445,10,10,0,0,0,0,0
pm_stb_sat_on_css,random_pm_stb_sat_on_css_3_2_negative,,3,2,False,,,42,10,5400.0,13958643712,0.019386640,0.001178804,0.021657869,10,10,0,0,0,0,0
pm_stb_sat_on_css,random_pm_stb_sat_on_css_3_2_positive,,3,2,True,,,42,10,5400.0,13958643712,0.021066925,0.001428513,0.024469386,10,10,0,0,0,0,0
pm_stb_sat_on_css,random_pm_stb_sat_on_css_4_0_negative,,4,0,False,,,42,10,5400.0,13958643712,0.026731280,0.001453752,0.028685392,10,10,0,0,0,0,0
pm_stb_sat_on_css,random_pm_stb_sat_on_css_4_0_positive,,4,0,True,,,42,10,5400.0,13958643712,0.027593388,0.000743714,0.029475696,10,10,0,0,0,0,0
pm_stb_sat_on_css,random_pm_stb_sat_on_css_4_1_negative,,4,1,False,,,42,10,5400.0,13958643712,0.025300463,0.000895592,0.026279192,10,10,0,0,0,0,0
pm_stb_sat_on_css,random_pm_stb_sat_on_css_4_1_positive,,4,1,True,,,42,10,5400.0,13958643712,0.026875252,0.001029982,0.028252203,10,10,0,0,0,0,0
