experiment,condition,sample,seed,n,k,r,rx,rz,measurement,probe,result,timed_out,timeout_seconds,build_seconds,solve_seconds,decisions,conflicts,propagations,rlimit_count,assertions,row_operation_variables
rank_sweep,general,0,1480751712,14,4,10,,,base,,sat,False,300.0,0.081055250,0.031621417,1043,611,70560,238733,504,100
rank_sweep,general,1,265604076,14,4,10,,,base,,sat,False,300.0,0.054417000,0.007612500,305,97,8957,353693,504,100
rank_sweep,general,2,839732054,14,4,10,,,base,,sat,False,300.0,0.056455167,0.009085583,361,138,10354,501257,504,100
rank_sweep,general,3,2057288884,14,4,10,,,base,,sat,False,300.0,0.072610125,0.016128208,1344,630,57049,720531,504,100
rank_sweep,general,4,1722806092,14,4,10,,,base,,sat,False,300.0,0.054698792,0.008541958,94,17,1500,849385,504,100
rank_sweep,general,5,840307513,14,4,10,,,base,,sat,False,300.0,0.055598167,0.007237125,75,29,2437,984402,504,100
rank_sweep,general,6,1459932343,14,4,10,,,base,,sat,False,300.0,0.057363125,0.009151125,106,33,3564,1121426,504,100
rank_sweep,general,7,60231517,14,4,10,,,base,,sat,False,300.0,0.057217791,0.010148459,197,97,10317,1273528,504,100
rank_sweep,general,8,1311742254,14,4,10,,,base,,sat,False,300.0,0.057680500,0.008720459,147,45,3055,1408802,504,100
rank_sweep,general,9,230171062,14,4,10,,,base,,sat,False,300.0,0.055849083,0.008926625,116,41,4342,1546752,504,100
rank_sweep,css,0,892005975,14,4,10,0,10,base,,sat,False,300.0,0.031188125,0.578319250,65559,39079,3098243,6108842,364,100
rank_sweep,css,1,384482440,14,4,10,0,10,base,,sat,False,300.0,0.032062458,0.726586875,66007,42403,3579964,10975262,364,100
rank_sweep,css,2,1922548075,14,4,10,0,10,base,,sat,False,300.0,0.030008792,0.496762542,51319,32913,2213690,14227367,364,100
rank_sweep,css,3,1853903855,14,4,10,0,10,base,,sat,False,300.0,0.030485542,0.132574583,20207,10887,594228,15314209,364,100
rank_sweep,css,4,2031851556,14,4,10,0,10,base,,sat,False,300.0,0.029990208,0.287331708,44622,24645,1485111,17819768,364,100
rank_sweep,css,5,1132225316,14,4,10,0,10,base,,sat,False,300.0,0.033361250,0.963180166,90280,58366,4857076,24597339,364,100
rank_sweep,css,6,1057031459,14,4,10,0,10,base,,sat,False,300.0,0.032125291,0.202401250,28765,15009,933725,26222361,364,100
rank_sweep,css,7,1437475356,14,4,10,0,10,base,,sat,False,300.0,0.031473791,1.395437916,150825,91904,7854734,37271925,364,100
rank_sweep,css,8,83071840,14,4,10,0,10,base,,sat,False,300.0,0.031441250,14.995458667,1046346,826600,66270206,125285929,364,100
rank_sweep,css,9,1541645539,14,4,10,0,10,base,,sat,False,300.0,0.031630875,4.067514458,316117,217255,20595491,151893074,364,100
rank_sweep,css,0,180723360,14,4,10,1,9,base,,sat,False,300.0,0.031304583,0.019534958,3246,1903,100090,152161401,364,82
rank_sweep,css,1,287196987,14,4,10,1,9,base,,sat,False,300.0,0.030322416,0.005687625,297,156,7053,152283614,364,82
