problem,seed,n,k,r,x_rank,class_sizes,q_pairs,status,timeout,memory_limited,error
pm_css,89,3,0,3,3,3,1.0,success,False,False,
pm_css,773,3,0,3,3,3,1.0,success,False,False,
pm_css,654,3,0,3,1,3,1.0,success,False,False,
pm_css,438,3,0,3,3,3,1.0,success,False,False,
pm_css,433,3,0,3,1,3,1.0,success,False,False,
pm_css,858,3,0,3,0,3,1.0,success,False,False,
pm_css,85,3,0,3,2,3,1.0,success,False,False,
pm_css,697,3,0,3,3,3,1.0,success,False,False,
pm_css,201,3,0,3,1,2 1,0.5555555555555556,success,False,False,
pm_css,94,3,0,3,0,3,1.0,success,False,False,
pm_css,89,3,1,2,2,2 1,0.5555555555555556,success,False,False,
pm_css,773,3,1,2,2,3,1.0,success,False,False,
pm_css,654,3,1,2,0,3,1.0,success,False,False,
pm_css,438,3,1,2,2,2 1,0.5555555555555556,success,False,False,
pm_css,433,3,1,2,0,3,1.0,success,False,False,
pm_css,858,3,1,2,0,2 1,0.5555555555555556,success,False,False,
pm_css,85,3,1,2,2,3,1.0,success,False,False,
pm_css,697,3,1,2,2,2 1,0.5555555555555556,success,False,False,
pm_css,201,3,1,2,0,3,1.0,success,False,False,
pm_css,94,3,1,2,0,2 1,0.5555555555555556,success,False,False,
pm_css,89,3,2,1,1,3,1.0,success,False,False,
pm_css,773,3,2,1,1,3,1.0,success,False,False,
pm_css,654,3,2,1,0,3,1.0,success,False,False,
pm_css,438,3,2,1,1,3,1.0,success,False,False,
pm_css,433,3,2,1,0,3,1.0,success,False,False,
pm_css,858,3,2,1,0,3,1.0,success,False,False,
pm_css,85,3,2,1,1,3,1.0,success,False,False,
pm_css,697,3,2,1,1,3,1.0,success,False,False,
pm_css,201,3,2,1,0,2 1,0.5555555555555556,success,False,False,
pm_css,94,3,2,1,0,2 1,0.5555555555555556,success,False,False,
pm_css,89,4,0,4,4,4,1.0,success,False,False,
pm_css,773,4,0,4,4,4,1.0,success,False,False,
pm_css,654,4,0,4,1,4,1.0,success,False,False,
pm_css,438,4,0,4,4,4,1.0,success,False,False,
pm_css,433,4,0,4,1,4,1.0,success,False,False,
pm_css,858,4,0,4,0,4,1.0,success,False,False,
pm_css,85,4,0,4,3,4,1.0,success,False,False,
pm_css,697,4,0,4,3,3 1,0.625,success,False,False,
pm_css,201,4,0,4,1,3 1,0.625,success,False,False,
pm_css,94,4,0,4,0,4,1.0,success,False,False,
pm_css,89,4,1,3,3,3 1,0.625,success,False,False,
pm_css,773,4,1,3,3,2 2,0.5,success,False,False,
pm_css,654,4,1,3,1,2 2,0.5,success,False,False,
pm_css,438,4,1,3,3,4,1.0,success,False,False,
pm_css,433,4,1,3,1,4,1.0,success,False,False,
pm_css,858,4,1,3,0,4,1.0,success,False,False,
pm_css,85,4,1,3,2,3 1,0.625,success,False,False,
pm_css,697,4,1,3,3,3 1,0.625,success,False,False,
pm_css,201,4,1,3,1,3 1,0.625,success,False,False,
pm_css,94,4,1,3,0,2 2,0.5,success,False,False,
pm_css,89,4,2,2,2,3 1,0.625,success,False,False,
pm_css,773,4,2,2,2,4,1.0,success,False,False,
pm_css,654,4,2,2,0,4,1.0,success,False,False,
pm_css,438,4,2,2,2,4,1.0,success,False,False,
pm_css,433,4,2,2,0,2 2,0.5,success,False,False,
pm_css,858,4,2,2,0,4,1.0,success,False,False,
pm_css,85,4,2,2,2,3 1,0.625,success,False,False,
pm_css,697,4,2,2,2,2 2,0.5,success,False,False,
pm_css,201,4,2,2,0,2 2,0.5,success,False,False,
pm_css,94,4,2,2,0,3 1,0.625,success,False,False,
pm_css,89,4,3,1,1,2 2,0.5,success,False,False,
pm_css,773,4,3,1,1,4,1.0,success,False,False,
pm_css,654,4,3,1,0,4,1.0,success,False,False,
pm_css,438,4,3,1,1,4,1.0,success,False,False,
pm_css,433,4,3,1,0,4,1.0,success,False,False,
pm_css,858,4,3,1,0,2 2,0.5,success,False,False,
pm_css,85,4,3,1,1,2 2,0.5,success,False,False,
pm_css,697,4,3,1,1,4,1.0,success,False,False,
pm_css,201,4,3,1,0,4,1.0,success,False,False,
pm_css,94,4,3,1,0,2 2,0.5,success,False,False,
pm_css,89,5,0,5,5,5,1.0,success,False,False,
pm_css,773,5,0,5,5,5,1.0,success,False,False,
pm_css,654,5,0,5,1,5,1.0,success,False,False,
pm_css,438,5,0,5,5,5,1.0,success,False,False,
pm_css,433,5,0,5,1,3 2,0.52,success,False,False,
pm_css,858,5,0,5,0,5,1.0,success,False,False,
pm_css,85,5,0,5,4,3 2,0.52,success,False,False,
pm_css,697,5,0,5,4,4 1,0.68,success,False,False,
pm_css,201,5,0,5,1,3 2,0.52,success,False,False,
pm_css,94,5,0,5,0,5,1.0,success,False,False,
pm_css,89,5,1,4,4,3 2,0.52,success,False,False,
pm_css,773,5,1,4,4,5,1.0,success,False,False,
pm_css,654,5,1,4,1,3 2,0.52,success,False,False,
pm_css,438,5,1,4,4,5,1.0,success,False,False,
pm_css,433,5,1,4,1,3 2,0.52,success,False,False,
pm_css,858,5,1,4,0,3 2,0.52,success,False,False,
pm_css,85,5,1,4,3,3 2,0.52,success,False,False,
pm_css,697,5,1,4,3,3 2,0.52,success,False,False,
pm_css,201,5,1,4,1,3 2,0.52,success,False,False,
pm_css,94,5,1,4,0,3 2,0.52,success,False,False,
